,vaga,empresa,localização,salário,dataPostagem,dataRaspagem,requisitos,job_url
119,Vagas de emprego: Lan RH,Lan RH,"São Paulo, SP",,EmployerAtiva 5 dias atrás,2022-05-01,"Experiência em assuntos de Machine Learning (Redução de ruído, reconhecimento de voz, fonética, síntese de voz, etc);Experiência em SQL, Python, etc;",
120,Vagas de emprego: TEGRA LTDA,TEGRA LTDA,"Home office in São Paulo, SP",,Postedhá 29 dias,2022-05-01,Trabalhamos juntos aos nossos clientes para direcionar seus investimentos para obter o melhor resultado.Desenhar casos de teste - Implementar artefatos de…,
121,Vagas de emprego: OEmprego,OEmprego,"São Paulo, SP",R$ 6.000 - R$ 7.000 por mês,Postedhá 30+ dias,2022-05-01,Preferência pelos cursos de Engenharias ou Administração; (contábeis).Conhecimento avançado de Excel e Power Point e intermediário em Power BI/Power.,
122,Credit Suisse,Credit Suisse,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Advanced programming skills (knowledge of python and R).The economics department is responsible for producing reports and analyses of all main economic…,
123,Fundação Bradesco,Fundação Bradesco,"Osasco, SP",,Postedhá 5 dias,2022-05-01,Microsoft Power BI; (I) imprescindível.Vivência com modelos de aprendizado de máquina (Machine Learning);,
124,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Atuar no tratamento de bases, setups e ferramentas.Já trabalhou com e-commerce ou varejo.Experiência em automatização de reports manuais por VBA/Python/SQL.",
125,Vagas de emprego: F&F Psicologia Ltda,F&F Psicologia Ltda,"São Paulo, SP",R$ 2.500 - R$ 2.800 por mês,Postedhá 3 dias,2022-05-01,Realizar análise e modelagem de dados;Gerenciar banco de dados MYSQL; Utilizar script em Python; Exibir dashboards em POWER BI Server e Desktop.,
126,Vagas de emprego: marketdata,marketdata,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,Já conquistamos 10 vezes o título de Agência do Ano em Database Marketing/CRM/Loyalty pela Associação Brasileira de Marketing Direto (ABEMD).,
127,Syngenta,Syngenta,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Suportar time de campo com demanda de contratos.Auxiliar no reporte de ações promocionais via SalesForce.Desejável conhecimento em programação (Python).,
128,Itaú Unibanco,Itaú Unibanco,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Queremos ter um pouco da sua também!Conhecimento Pentest incluindo cenário ps-exploração;Conhecimento de Python, Java, Ruby, e Shell scripting;",
129,Porto Seguro,Porto Seguro,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,A área é responsável por liderar o uso de dados e a aplicação de soluções de Inteligência Artificial na empresa.,
130,Vagas de emprego: Modus Create,Modus Create,"Home office in São Paulo, SP",,Postedhá 2 dias,2022-05-01,You love pinpointing gaps in test coverage and developing plans to fill those gaps.You'll have a primary focus on designing test plans and processes for new…,
131,Indra,Indra,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,O desenvolvedor será responsável pela análise e programação Big Data de sistemas de instituições financeiras.Desejável conhecimento em shell script e linguagem…,
132,Accenture,Accenture,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Execução de Pentests Web, APIs, Mobile (Android e iOS) e infraestrutura;Prover recomendações técnicas e remediações aos clientes e desenvolvedores;",
133,Oracle,Oracle,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Applicants are required to read, write, and speak the following languages: English, Portuguese.Advanced knowledge on Java, Phyton, PL/SQL Database, Operation…",
134,Itaú,Itaú,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Queremos ter um pouco da sua também!Conhecimento Pentest incluindo cenário ps-exploração;Conhecimento de Python, Java, Ruby, e Shell scripting;",
135,Desenvolvedor Python e React Sênior - Santo Amaro,Jobbol,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Desenvolvimento WEB considerando as seguintes tecnologias: Python, React, HTML, JavaScript e CSS.Modelagem de banco de dados relacionais e não relacionais.",
136,DBA My SQL,Innolevels,"São Paulo, SP",R$ 5.000 - R$ 7.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Python para apoio a equipe de desenvolvimento (Intermediário a Avançado).Gerenciamento das instâncias MySQL/MariaDB (monitoramento, tunning, gestão de usuários…",
137,Cientista de Dados,EY,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Este grupo de profissionais, dinâmico e talentoso, busca neste momento o candidato certo para integrar o time e desenvolver uma carreira sólida e ascendente.",
138,Python,HR Soul,"São Paulo, SP",,Postedhá 26 dias,2022-05-01,Sólida experiência com desenvolvimento utilizando linguagem Python;Experiência com frameworks Django e Pandas;,
139,Sr. Development and Support Analyst,Juntos Somos Mais,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Você fará parte do time de Tecnologia, da squad de ITOps.O seu time é responsável O seu time é responsável por tratar os incidentes e propor soluções no menor…",
140,Analista de QA,tegra,"Home office in São Paulo, SP",,Postedhá 29 dias,2022-05-01,"Trabalhamos juntos aos nossos clientes para direcionar seus investimentos para obter o melhor resultado.Build/Release Pipelines (CI/CD), dentro do contexto de…",
141,Dev Full Stack,2RP Net,"Home office in São Paulo, SP",,Postedhá 23 dias,2022-05-01,"Ü Conhecimento em uma ou mais linguagens (C#, Python, PHP, Java...);Ü Algum conhecimento em frameworks e bibliotecas CSS e JavaScript (Bootstrap, React,…",
142,Python Developer,Decision Group,"São Paulo, SP",,Postedhá 10 dias,2022-05-01,Experience preparing HLD/LLD with the best architecture available to support customer's requirement.Participating in requirements and design reviews of new…,
143,Tech Lead,Gympass,"São Paulo, SP",,Postedhá 26 dias,2022-05-01,Developing a vision for Connected Health platform.Drive architecture decisions that impact our whole Data privacy product development interactions.,
144,Desenvolvedor Python (Remoto),Share RH,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"A Object Edge tem um papel crítico trabalhando para obter resultados extraordinários.Através de uma forte parceria com os times de nossos clientes, trazemos um…",
145,Estagiário Full Stack,Recruta Simples,"São Paulo, SP",R$ 1.500 por mês,Postedhá 30+ dias,2022-05-01,"Noções de JS (jQuery, BootStrap) e Angular JS;Boa comunicação verbal e escrita;",
146,Analista Prevenção à Fraude / Data Analytics,Hotmart,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,O que você precisa saber sobre esta vaga.O nosso time de Prevenção à Fraudes está em busca de uma pessoa analista (Data Analytics) que nos ajude a estabelecer…,
147,Especialista de DBM/Analitycs,Decathlon,"Hybrid remote in São Paulo, SP",,Postedhá 16 dias,2022-05-01,Construir dashboards de CRM com o comportamento dos consumidores;Segmentar o público e fazer extrações de base;Experiência com CRM no varejo e e-commerce;,
148,Data Engineer,MasterCard,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Consumers should have full transparency and control of their Financial Data.Finicity expands financial inclusion and increases financial and data literacy.,
149,DESENVOLVEDOR RPA - PRESENCIAL/HÍBRIDO,Tactus Contabilidade,"São Bernardo do Campo, SP",,Postedhá 12 dias,2022-05-01,"Buscamos profissionais movidos por desafios, e que estejam alinhados com o nosso propósito no mercado. Somos uma empresa que cresce todos os meses e…",
150,Engenheiro(a) de dados (BR),Modern Talent Hub BR,"Home office in São Paulo, SP",R$ 20.000 - R$ 30.000 por ano,Postedhá 30+ dias,2022-05-01,"Apoiar cliente com engenharia e validação de dados em ambiente Big Data.Análise e documentação das diversas fontes de dados do cliente (APIs, banco de dados…",
151,Analista de Produto (vaga focada em mulheres),Itaú,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Ter uma visão completa do ciclo de vida do dado.Ter uma visão completa dos dados dos bancos sabendo formular hipóteses que olhem para o cliente como um todo.,
152,PESSOA DESENVOLVEDORA BACK-END JAVA E PYTHON SR (REMOTO),Pitang,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Sobre a PITANG Desenvolvemos serviços e soluções de alta qualidade em Tecnologia de Informação e Comunicação, através do desenvolvimento de projetos…",
153,Software Engineer (Python/Linux/Packaging),Canonical - Jobs,"São Paulo, SP",,Postedhá 23 dias,2022-05-01,"Canonical delivers open source software to millions of Linux, Windows and Mac machines through Ubuntu and the wider Canonical ecosystem.",
154,Cientista de Dados,Telhanorte - Saint Gobain,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Programação avançada em Python (essencial) / R (desejável).Conhecimento em ferramentas de engenharia de dados (Airflow, Kafka, Spark, dbt).",
155,Cost and Control Analyst - Logistic,Shopee,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,"The Operation teams at Shopee covers the operational end-to-end process, from when the buyer searches for a product listed on the Shopee platform, to the moment…",
156,PYTHON SÊNIOR,Hexacta,"São Paulo, SP",,Postedhá 12 dias,2022-05-01,"Azure Devops: pipeline, boards (sprint).Flask, Rancher, Kubernetes, DMS, ElasticSearch, Logstash, Java, Node, Angular, Scrum.",
157,Estagiário de Risco,Safira Energia,"Home office in Barueri, SP",,Postedhá 17 dias,2022-05-01,"Aqui contamos com uma galera visionária e destemida, que vive num movimento constante para sempre fazer mais e melhor, trazendo soluções inteligentes para o…",
158,Pessoa Desenvolvedora Backend Django Python SR,Avivatec,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Nossa rotina é super tech, trabalhamos em um time multidisciplinar com pessoas de engenharia, produtos, design e negócios, utilizando diferentes tecnologias.",
159,CIENTISTA DE DADOS PL,Porto Seguro,"São Paulo, SP",,Postedhá 22 dias,2022-05-01,A área é responsável por liderar o uso de dados e a aplicação de soluções de Inteligência Artificial na empresa.Estes serão explorados no processo seletivo).,
160,Software Engineer - Python and K8s,Canonical - Jobs,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,We are confident that we can dramatically improve the experience of running complex business operations - and then we can help our customers embrace those new…,
161,Senior Python & JavaScript Engineer,Sparkademy,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Full-time, Mid-Senior level, Remote.Work with the team to discover, test, build and ship the next generation of new features.Job Types: Full-time, Permanent.",
162,Consultor(a) - Gestão de Riscos (Indústria Financeira),EY,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Ensino superior completo em Ciências Atuariais, Estatística, Matemática, Economia ou Engenharias;Pessoas talentosas e que consigam enxergar os desafios mais…",
163,ANALISTA DE DESENVOLVIMENTO JÚNIOR,Banco Master,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Trabalhar em conjunto com o time de projetos e de desenvolvimento, atuando por todo SDLC, entendendo, documentando e validando a arquitetura e funcionalidades…",
164,Analista de CX (Customer Experience) Júnior/Pleno,Informaker,"Home office in Barueri, SP",R$ 2.000 - R$ 3.000 por mês,Postedhá 2 dias,2022-05-01,Monitoramento e relatórios com métricas de CX e relacionamento com os indicadores operacionais e financeiros da empresa.,
165,Analista de CX (Customer Experience) Júnior/Pleno,Informaker,"Home office in Barueri, SP",R$ 2.000 - R$ 3.000 por mês,Postedhá 2 dias,2022-05-01,Monitoramento e relatórios com métricas de CX e relacionamento com os indicadores operacionais e financeiros da empresa.,
166,Analista de Business Intelligence,JOTA Jornalismo SA,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,Fazer análises do negócio com base nos resultados obtidos na análise dos indicadores;Domínio das ferramentas Excel e Google Sheets;,
167,Analista de Segurança da Informação Sr - Appsec/Redteam,z-tech,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,"Realizar modelagem de ameaça (Threat Modeling);Criar e fazer scripts específicos caso necessário (Python, PowerShell, Shell Script majoritariamente);",
168,Bolsista Programa Inova Talentos,INSTITUTO EUVALDO LODI,"São Paulo, SP",R$ 2.500 por mês,Postedhá 30+ dias,2022-05-01,"O principal recurso que você tem são dados (vendas por região nos últimos 05 anos, dados dos cliente (idade, sexo, endereço, perfil, etc).",
169,Analista de Dados Jr,Grhats Consultoria em Recursos Humanos,"São Paulo, SP",R$ 4.500 - R$ 5.000 por mês,EmployerAtiva 11 dias atrás,2022-05-01,"Ensino superior completo em Matemática ou Estatística, ou Física ou Engenharias ou Ciência da Computação;Conhecimentos em Reporting e Dashboards utilizando…",
170,Analytics Engineer,Nubank,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"O Nubank foi fundado em 2013 para libertar as pessoas de um sistema financeiro burocrático, lento e ineficiente.",
171,Software Engineer - Observability (Python/Go/Kubernetes),Canonical - Jobs,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"The monitoring stack will be opinionated, resilient, and scalable, providing deep insights out of the box.The user experience will be polished and seamless for…",
172,Analista de Business Intelligence Jr,Valid,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Auxiliar no desenvolvimento de processos de ETL e modelagem de dados (cubos, views, data marts...).Superior completo em Ciências da Computação, Análise de…",
173,Gerente Analytics em Finanças,Itaú,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"O time faz a atuação no Planejamento Financeiro do Banco de Varejo, aproximadamente metade do resultado do Banco, com participação ativa como parceiro dos…",
174,Cientista de Dados Junior (remote),AMARO,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Ter formação acadêmica em uma ciência quantitativa/campo matemático.Ter experiência com Machine Learning e/ou modelos estatísticos.,
175,Analista em Analytics Pleno,Autopass,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Criar modelos estatísticos para apoiar nas soluções de negócios (Ex: Marketing, Prevenção a Fraude, etc...).Comprovação mínima de 2 anos atuando com Análise de…",
176,Tech Lead | Remoto,Azos,"Home office in São Paulo, SP",,Postedhá 23 dias,2022-05-01,Liderança do nosso time de desenvolvimento (back e front end);Acompanhar as entregas do time de desenvolvimento junto com o time de Design e Produto;,
177,Analista de Dados,EY,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Como Analista de Dados você irá atuar junto a um grande banco colocando em prática conhecimentos em análise de dados.,
178,Financial Products Analyst,SumUp,"São Paulo, SP",,Postedhá 22 dias,2022-05-01,"Knowledge in SQL, python, excel or experience in dealing with loads of data.Be responsible for mapping all the money and information flows between SumUp,…",
179,Engenheiro de Dados,Jobbol,"Home office in São Paulo, SP",,Postedhá 1 dia,2022-05-01,"É oferecido contrato Home Office, Plano Médico / Plano Odontológico / Vale Refeição /.",
180,Tech Manager - Remoto,Sanar,"Home office in São Paulo, SP",,Postedhá 5 dias,2022-05-01,"O time de dados tem como objetivo tornar a Sanar uma empresa mais assertiva e eficiente através de decisões cada vez melhores, seja por estarmos mais embasados…",
181,Analista de Governança de Dados,Dasa Tecnologia,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-01,Estruturação de processos de qualidade de dados;Desenvolver métricas de controle de integridade de dados;Sólidos conhecimentos em processos de Governança de…,
182,Desenvolvedor Full Stack - .Net/Ruby/Python,Iterative,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Desenvolvedor (a) FullStack em um projeto em nossa fábrica de Software em uma de nossas startups internas. A posição é para atuar com um sistema…,
183,Engenheiro de Dados,C&A,"Home office in Barueri, SP",,Postedhá 23 dias,2022-05-01,Experiência na criação e manutenção de pipelines de transformação de dados (ETL);,
184,Desenvolvedor Full Stack,Accenture,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,"Net (C#, Core e Framework), Java (Spring Boot, Spring, Quarkus), Python ou em NodeJS / TypeScript;Conhecimentos em boas práticas de desenvolvimento e design…",
185,QA Backend,Tech Mahindra,"São Paulo, SP",,Postedhá 30 dias,2022-05-01,"Nós realmente acreditamos que a tecnologia torna isso possível, mas são as pessoas que fazem isso acontecer.",
186,Analista de Banco de Dados,CROSS – Central de Regulação de Ofertas de...,"São Paulo, SP",,Postedhá 26 dias,2022-05-01,"Otimizar o uso dos recursos computacionais (uso adequado do SGBD, tráfego de dados, armazenamento);Ensino superior em Análise de Sistemas, Sistemas de…",
187,Assistente de Planejamento Comercial III,MetLife,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,O mercado de seguros de pessoas no Brasil está em franco crescimento e a MetLife é uma das empresas que está liderando esse movimento.,
188,"Software Engineer - Golang, Python, Android - Anbox Cloud",Canonical - Jobs,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,"The successful candidate will work with a dedicated team on the development and maintenance of our software stack in Go and Python, and help customers integrate…",
189,Analista de Planejamento de Demanda,Westwing,"Home office in São Paulo, SP",,Postedhá 2 dias,2022-05-01,Vivência em planejamento estratégico de varejo (e-commerce ou loja física).,
190,Engenheiro de dados,Innolevels,"São Paulo, SP",R$ 8.000 - R$ 9.900 por mês,EmployerAtiva 10 dias atrás,2022-05-01,"Tecnologias de big data da AWS (Redshift, S3, EMR, Python, Spark, lambda);Construção / operação de sistemas distribuídos para extração, ingestão e…",
191,Quality Control Operations Assistant,Gympass,"São Paulo, SP",,Postedhá 26 dias,2022-05-01,Definition and execution of a continuous improvement process in our marketplace.Monitor metrics and proactively surface insights to the leadership team.,
192,Estágio - Data Science SP,Visagio,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Desenvolver e implantar soluções baseados em Machine Learning, Otimização, Simulação, entre outros;Preferível experiência em atividades extracurriculares (ex:…",
193,Senior Data Scientist,Whirlpool Corporation,"Home office in São Paulo, SP",,Postedhá 19 dias,2022-05-01,Nossos valores são a força motriz por trás de tudo o que fazemos.Responsável por ser o(a) Data Scientist de uma equipe multidisciplinar;,
194,Analista de Sistema de TI Junior,Vivo Digital,"São Paulo, SP",,Postedhá 11 dias,2022-05-01,Criação de de rotinas (scripts) para tratamento massivo de cenários conhecidos;Acompanhamento de indicadores operacionais para validação de nível de serviço;,
195,Vagas de emprego: Farm Investimentos,Farm Investimentos,"São Paulo, SP",,Postedhá 19 dias,2022-05-01,Manipulação de base de dados para tomada de decisão.,
196,Vagas de emprego: Credz,Credz,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Desenvolver, Monitorar e atualizar Políticas e Modelagem de Crédito;Acompanhar o desempenho da Carteira de Crédito, Controlar Inadimplência e Mitigar Riscos;",
197,Vagas de emprego: Platform Builders,Platform Builders,"Home office in São Paulo, SP",,Postedhá 8 dias,2022-05-01,"Infrastructure as Code ( e.g Terraform, Cloud Formation );Cloud Computing ( e.g AWS, GCP, Azure);Containers, Microservices Environments ( e.g Openshift,…",
198,Santander,Santander,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Tecnologias de Big Data (Haddop, Spark e Hive, Impala).Conhecimento em metodologias de pesquisas de mercado.",
199,Vagas de emprego: GeekHunter,GeekHunter,"Home office in São Paulo, SP",R$ 12.000 - R$ 14.000 por ano,Postedhá 30+ dias,2022-05-01,"A empresa é a solução completa de Distribuição, Marketing e Inteligência para o mercado hoteleiro.Porque trabalhamos com o Mundo;",
200,will bank,will bank,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Graduação em Matemática, Estatística, Engenharia, Computação, Economia, Administração ou áreas afins;Gympass - Plataforma com foco na qualidade de vida,…",
201,Vagas de emprego: Inklua Servicos Para Inclusao de Pcd Ltda,Inklua Servicos Para Inclusao de Pcd Ltda,"Home office in São Paulo, SP",R$ 3.100 - R$ 5.000 por mês,EmployerAtiva 28 dias atrás,2022-05-01,SQL Server e SSDT (Obrigatório).,
202,Vagas de emprego: TikTok,TikTok,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Define and execute Resso user operation strategy, including but not limited to user growth, engagement, campaign, communication, etc.",
203,Vagas de emprego: OEmprego,OEmprego,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"O que esperamos de você Formação Superior Completa ou Cursando Python Docker Django Jenkins Postgres Swagger Testes AWS: codecommit (Git), SQS, ECS, lambda,…",
204,Google,Google,"Home office in São Paulo, SP",,Postedhá 23 dias,2022-05-01,"Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.Experience working in one or more of the following:…",
205,Creditas,Creditas,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Nosso time de Product Technology.Com foco na criação da melhor e mais personalizada experiência para clientes da Creditas, o time de Product Technology é…",
206,BP,BP,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,"Organizar o material para obter insights valiosos para a empresa, em relação à sua comunicação, estratégias de marketing, comportamento do usuário, previsões,…",
207,Vagas de emprego: Bradoo Technologies,Bradoo Technologies,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Plano de Carreira em Startup de tecnologia. Trabalhar em ambiente Ágil, e participar de equipe de desenvolvimento de Produto Desenvolvimento de produto e…",
208,Vagas de emprego: Secureway,Secureway,"Home office in São Paulo, SP",,Postedhá 18 dias,2022-05-01,Ter boa comunicação e empatia para lidar com equipes e entender usuários.Vivência em soluções de alta performance e disponibilidade;,
209,Vagas de emprego: Centro de Excelência Votorantim BR,Centro de Excelência Votorantim BR,"São Paulo, SP",,Postedhá 30 dias,2022-05-01,"Buscamos por Analista de Auditoria Interna para integrar o time do Sykn, um produto criado dentro do Centro de Excelência Votorantim.",
210,Analista de Monitoramento- Observability Zabbix/ Grafana,Secureway,"Home office in São Paulo, SP",,Postedhá 18 dias,2022-05-01,Ter boa comunicação e empatia para lidar com equipes e entender usuários.Vivência em soluções de alta performance e disponibilidade;,
211,ANALISTA DE AUDITORIA INTERNA,Centro de Excelência Votorantim BR,"São Paulo, SP",,Postedhá 30 dias,2022-05-01,"Buscamos por Analista de Auditoria Interna para integrar o time do Sykn, um produto criado dentro do Centro de Excelência Votorantim.",
212,Desenvolvedor,Curriculum.com.br,"Home office in São Paulo, SP",,Postedhá 4 dias,2022-05-01,Desenvolvedor Python. Requisitos necessários para esse novo desafio: Desenvolvimento Python APIs (REST / SOAP); Integração Continua; Escrever testes (Unitários…,
213,Principal Data Insights Full-Stack Python Engineer (Brazil),Cloudbeds,"Home office in São Paulo, SP",,Postedhá 10 dias,2022-05-01,Provide flexibility in working hours and locations;You will wield your expertise in web application software and leverage many years of hospitality data to…,
214,Analista de Segurança da Informação II (Pentest de Aplicação...,Tempest,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,Conhecimentos em segurança da informação;Habilidade na realização de Pentest em aplicações web;Habilidades de programação em uma ou mais linguagens…,
215,Cientista de Dados,Keyrus Brazil,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Desempenhar papel de liderança no time.Conhecimento em Python e Azure.,
216,Analista Pleno BI,Enext,"Home office in São Paulo, SP",,Postedhá 1 dia,2022-05-01,Atenderá tanto demandas internas quanto demandas dos clientes da empresa.Conhecimento avançado em Microsoft Power BI e Google Data Studio.,
217,Analista de Indicadores Pleno,Vem Pra Vivo,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,Conhecimento e experiência com programação Python e outros;Conhecimento e experiência com bancos de dados SQL e outros;Veja o que ofereceremos* para você:,
218,Especialista Prevenção a Fraudes,Banco BV,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,"Um banco nacional, o 5º maior banco privado do Brasil (ranking Banco Central).Atuar na parceria de co-inovação com o Google na frente de Prevenção a Fraudes;",
219,Sales Engineer - LATAM,Axonius,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Axonius is the cybersecurity asset management platform that gives organizations a comprehensive asset inventory, uncovers gaps, and automatically validates and…",
220,Pessoa Desenvolvedora Backend Pleno (Python/Go),Mercado Bitcoin,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Desenvolver software (com testes) pronto para produção;Manter os serviços em pleno funcionamento;Conhecimento em DevOps (CI/CD, Containers);",
221,1ST Line support / System Engineer,Unlimint,"São Paulo, SP",,Postedhá 15 dias,2022-05-01,"Installing, configuring, and updating operating systems and software.Installation of network infrastructure equipment, including cable systems, trunk…",
222,5840 - Arquiteto Cloud (AWS),GLOBAL HITSS,"São Paulo, SP",,Postedhá 11 dias,2022-05-01,"Serviços e soluções AWS, AZURE ou GOOGLE CLOUD;Operações críticas de workloads em nuvem e infraestrutura on-premises;Scripts(Powershell, Python, Bash, Perl).",
223,Renewable Energy Performance Analyst,Schneider Electric,"Jurubatuba, SP",,Postedhá 30+ dias,2022-05-01,"The Renewable Energy Performance Analyst will deliver and assist in the delivery of high-impact services and digital solutions that create client value,…",
224,Analista de Dados,IQVIA,"São Paulo, SP",,Postedhá 21 dias,2022-05-01,"Capacidade de planejar, construir e executar soluções de gerenciamento de informações de classe empresarial em uma variedade de tecnologias (por exemplo, big…",
