,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
39,Vagas de emprego: Pagaleve,Pagaleve,"São Paulo, SP",,Postedhá 8 dias,2022-05-06,Você também vai interagir com o time de engenharia para fornecer insights e ideias para melhorias na plataforma de tecnologia para agilizar o processo de…,
40,Vagas de emprego: Exent | Performance Marketing,Exent | Performance Marketing,"Home office in São Paulo, SP",R$ 1.500 - R$ 2.000 por mês,Postedhá 16 dias,2022-05-06,Estamos procurando um(a) Estagiário(a) para atuar no setor de Desenvolvimento Front-end da empresa.Desejável Noções em JavaScript (JQuery).,
41,Vagas de emprego: W5 Publicidade,W5 Publicidade,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Diagramar os projetos seguindo o layout.Experiência comprovada na área (3 a 6 anos).Experiência comprovadas com JavaScript, Jquery, HTML e CSS.",
42,Vagas de emprego: E4 Agência,E4 Agência,"São Paulo, SP",,Postedhá 17 dias,2022-05-06,Atividades: Uso da biblioteca de funções WP para criação e desenvolvimento; Configuração de Hospedagem e Publicação de Sites; Realização de procedimentos de…,
43,Ultranet Telecomunicações Ltda,Ultranet Telecomunicações Ltda,"São Paulo, SP",R$ 1.800 por mês,Postedhá 3 dias,2022-05-06,"Vaga presencial, para o escritório do Cambuci/SP.*.Diariamente executa o desenvolvimento de sistemas informatizados adequando-os às necessidades das áreas e…",
44,Vagas de emprego: Jobbol,Jobbol,"São Paulo, SP",,Postedhá 30 dias,2022-05-06,Planejar e propor soluções junto ao time.,
45,Software Engineer - Wordpress/PHP - Nível Pleno (35),Digital Republic,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Conhecimento de Wordpress (Criação de temas, plugins, instalação, configuração).Conhecimento de GIT (command line).",https://www.br.indeed.com/rc/clk?jk=1e83648aa6821c3f&fccid=7923744bb791615a&vjs=3
46,DESENVOLVEDOR PHP,Octopus Technology,"Vila Leopoldina, SP",,Postedhá 30+ dias,2022-05-06,"Espera-se como habilidades técnicas domínio em PHP, Symfony , Codelgeniter ,Laravel ,HTML5 ,Jquery, Angular, PHP, GIT, MYSQL e SQL Server.",https://www.br.indeed.com/rc/clk?jk=5025b5fc26e94f97&fccid=763512c98990dd57&vjs=3
47,Estágio Full Stack,2RP Net,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Alguma linguagem de programação (C, Java, C#, PHP, etc);Outras linguagens e tecnologias (PHP, C#, Java, Python, Node.js, Golang, etc);",https://www.br.indeed.com/rc/clk?jk=67ce8b72ac8ce7c7&fccid=7f1b33b834a2ecf0&vjs=3
48,Desenvolvedor(a) Full Stack PHP,DATAB,"São Caetano do Sul, SP",,Postedhá 6 dias,2022-05-06,Realizar manutenção em aplicações web.Identificar e implementar tendências tecnológicas no que se refere ao negócio.Buscar excelência em suas atividades.,https://www.br.indeed.com/rc/clk?jk=5bb402f6650cedaf&fccid=9dea647c646e3417&vjs=3
49,Desenvolvedor JOOMLA - Nova Piraju,Jobbol,"São Paulo, SP",,Postedhá 23 dias,2022-05-06,"Empresa de telecomunicação admite Desenvolvedor JOOMLA em São Paulo (Nova Piraju) para atuar em Tempo integral, Comercial. Desenvolvimento de funcionalidades…",https://www.br.indeed.com/rc/clk?jk=d6f4e52d312e5c1e&fccid=c64032edc49f7500&vjs=3
50,Tech Intern - REMOTO,bxblue,"Home office in São Paulo, SP",,Postedhá 1 dia,2022-05-06,"Atuar junto ao usuário, ajudando-o a resolver as dificuldades com o produto;Resolver problemas próximo aos times de negócio (marketing ou atendimento);",https://www.br.indeed.com/rc/clk?jk=4f932a6fd059250d&fccid=860e434a68cb4130&vjs=3
51,Desenvolvedor .php,Buonny,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"O que é a Buonny? Desde a sua fundação, em 1995, a Buonny possui vocação pioneira em tecnologia para gerenciamento de riscos no transporte rodoviário de…",https://www.br.indeed.com/rc/clk?jk=e1b105c5b136205e&fccid=7edbf2005fd2eff0&vjs=3
52,Senior PHP Developer - Backend (Remote),Rivalry,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-06,"This is a senior role working alongside the current backend software engineering team; however, you will also work alongside both experienced and junior…",https://www.br.indeed.com/rc/clk?jk=e11a40503ec4c8dc&fccid=0bb16a12cd46757f&vjs=3
53,Desenvolvedor Web,Evoi Publicidade,"São Paulo, SP",R$ 2.100 por mês,EmployerAtiva 3 dias atrás,2022-05-06,Colaborar com automação de processos em plataformas de marketing.,https://www.br.indeed.com/company/Evoi-Publicidade/jobs/Desenvolvedor-Web-63684da59c48070e?fccid=37fc7b0ef9000391&vjs=3
54,Desenvolvedor Júnior - Trabalho Hibrído,Webfoco,"Hybrid remote in São Caetano do Sul, SP",,Postedhá 30+ dias,2022-05-06,"Somos uma agência de Marketing Digital localizada em São Caetano do Sul.Conhecimento em PHP, HTML, JavaScript, CSS, WordPress e plataformas de e-commerce (Tray…",https://www.br.indeed.com/rc/clk?jk=4ab2503915f1da4e&fccid=7994a1a032e6a2c2&vjs=3
55,Analista de sistemas júnior,Telium,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Ser o mais completo provedor de soluções de internet do Brasil e reconhecido pela excelência no atendimento aos clientes.,https://www.br.indeed.com/rc/clk?jk=eb590c19cba2fb73&fccid=a2d6be2047060646&vjs=3
56,Analista Programador PHP,Curriculum.com.br,"São Paulo, SP",,Postedhá 9 dias,2022-05-06,"Requisitos necessários para esse novo desafio: Conhecimento sólidos em algoritmos, estrutura de dados e Design Patterns, Experiência em PHP (Laravel), API, REST…",https://www.br.indeed.com/rc/clk?jk=1ef1b4b2bbff3134&fccid=22d7ce555383096d&vjs=3
57,"Desenvolvedor Php - Foco Em Web, Backend E Integração",EB CORPORATE,"São Paulo, SP",R$ 5.000 - R$ 8.000 por mês,Postedhá 1 dia,2022-05-06,"Necessário: Ensino Superior completo em ciência da computação ou áreas afins; Experiência com desenvolvimento com PHP, preferencialmente Scriptcase;…",https://www.br.indeed.com/company/EB-CORPORATE/jobs/Desenvolvedor-PHP-0eb69d66a589ee29?fccid=cc7e9c8efb58aaef&vjs=3
58,Técnico(a) em desenvolvimento PHP,Qualicorp,"Home office in São Paulo, SP",,Postedhá 29 dias,2022-05-06,"Alguns Dos Desafios Que Você Vai Encarar.Realização de Manutenção de Aplicação e Scripts em PHP com integração com banco de dados Mysql, com programação WEB …",https://www.br.indeed.com/rc/clk?jk=11b79695d0c98973&fccid=813a3a04ded3d452&vjs=3
59,Software Engineer (PHP),Metal Toad,"São Paulo, SP",,Postedhá 1 dia,2022-05-06,"The Software Engineer position at Metal Toad requires experience in building high-performing, scalable, enterprise-grade applications.",https://www.br.indeed.com/rc/clk?jk=ce8219aa5bf544d5&fccid=433d4760cb006f13&vjs=3
60,Vagas de emprego: Metal Toad,Metal Toad,"São Paulo, SP",,Postedhá 1 dia,2022-05-06,"The Software Engineer position at Metal Toad requires experience in building high-performing, scalable, enterprise-grade applications.",
61,Vagas de emprego: Innolevels,Innolevels,"São Paulo, SP",R$ 3.800 - R$ 5.040 por mês,Postedhá 2 dias,2022-05-06,Se você conhece ou deseja aprendizado em *PHP ou Python* será uma grande diferencial para a oportunidade.Candidate-se a nossa vaga que teremos o grande prazer…,
62,Vagas de emprego: Team Liquid,Team Liquid,"São Paulo, SP",,Postedhá 22 dias,2022-05-06,"In the PHP Developer role, you will maintain high-quality when solving architectural and developmental challenges to deliver great user experiences while also…",
63,Vagas de emprego: RedBelt,RedBelt,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Seja qual for o seu cargo, aqui você pode causar um impacto mundial e mudar a vida das pessoas.Desenvolver códigos de qualidade e seguro tanto em backend como…",
64,vagas de emprego: São Paulo,,"São Paulo, SP",R$ 8.000 por mês,Postedhá 23 dias,2022-05-06,"Fundada em 1985 e buscando sempre excelência no segmento, a Zukerman Leilões orgulha-se de ser referência no setor.",
65,Vagas de emprego: SIS Serviços,SIS Serviços,"Barueri, SP",,Postedhá 30+ dias,2022-05-06,Desenvolvimento PHP (Front-end e Back-end).Efetuar interface com diversas áreas para levantar informações;Experiência em programação orientada a objetos e MVC…,
66,Vagas de emprego: Influu,Influu,"São Paulo, SP",,Postedhá 30 dias,2022-05-06,"O profissional será responsável pela criação de plugins e temas de WordPress no back-end, é necessário saber criar e modificar plugins já existentes em PHP,…",
67,IBM,IBM,"São Paulo, SP",,Postedhá 1 dia,2022-05-06,Our Infrastructure Specialists are responsible for keeping up with these latest and greatest of these changes and using their expertise to deliver solutions…,
68,Globant,Globant,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Each Studio represents deep pockets of expertise on the latest technologies and trends and delivers tailored solutions focused on specific challenges.,
69,Vagas de emprego: Injoy Travel,Injoy Travel,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Falando de requisitos mais técnicos, a pessoa que buscamos deve ter conhecimentos sólidos em programação web e SQL/banco de dados, com capacidade para liderar o…",
70,Vagas de emprego: Moot It Consulting,Moot It Consulting,"São Paulo, SP",,Postedhá 2 dias,2022-05-06,"Experiência/Conhecimento em Frameworks PHP (Laravel, Zend, Synfony) e/ou JS (AngularJS, ExtJS, VueJS).",
71,Vagas de emprego: Metanoia Sistemas,Metanoia Sistemas,"São Paulo, SP",R$ 1.000 - R$ 3.000 por mês,Postedhá 24 dias,2022-05-06,Procuramos um(a) Desenvolvedor(a) PHP com experiência em wordpress e frameworks javascript como React e ViewJS.,
72,Vagas de emprego: Duosystem,Duosystem,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Requisitos Indispensáveis Linguagem PHP Banco de Dados: SQL Server, MySQL Padrão MVC Javascript, JQuery, CSS, Bootstrap GIT Trabalho em equipe Desejável…",
73,EY,EY,"São Paulo, SP",,PostedHoje,2022-05-06,"Conhecimento de programação (JAVA, C#, VBA, php ou outros);Auxiliar a desenhar a estratégia de transformação digital na região;",
74,Vagas de emprego: 00K e-bussines tools,00K e-bussines tools,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Conhecimentos em Javascript, PHP ZF2 / Codeigniter (MVC), GIT, Mysql, HTML/CSS, APIs REST.Js, Elasticsearch, avançado em Mysql (Procedures/Triggers), TDD.",
75,Vagas de emprego: Porta 80 Web Hosting,Porta 80 Web Hosting,"Home office in Osasco, SP",,Postedhá 6 dias,2022-05-06,"Gerenciamento, instalação, configuração e suporte para redes Windows Server e Linux.Protocolos de internet, incluindo TCP/IP, FTP, HTTP, HTTPS, POP, SMTP, SNMP…",
76,Meta,Meta,"São Paulo, SP",,Postedhá 16 dias,2022-05-06,You will write scalable production-grade code across Meta's platforms in collaboration with other product engineering teams.,
77,Google,Google,"Home office in São Paulo, SP",,Postedhá 28 dias,2022-05-06,"Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.3 years of experience in software engineering, and…",
78,Vagas de emprego: Relation1,Relation1,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Conduct periodical evaluations on trainees’ activity and make recommendations.Work closely with project managers, mentors, team leaders and HR Buddies in order…",
79,Somos Educação,Somos Educação,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Realizar desenvolvimentos utilizado a linguagem PHP, MySQL, Javascript, Jquery e CSS.Agregar ao time de desenvolvimento focado no cliente SESI Educação,…",
80,Vagas de emprego: Webjump,Webjump,"Home office in São Paulo, SP",,Postedhá 8 dias,2022-05-06,Conhecimento avançado em provedores cloud (AWS);Experiência com Throubleshooting em ambientes prod e non-prod;,
81,Vagas de emprego: PrideLogic,PrideLogic,"Home office in Bela Vista, SP",R$ 30.000 - R$ 40.000 por ano,Postedhá 5 dias,2022-05-06,We are looking for Senior Full Stack PHP/CakePHP engineers who will work with a cross-functional team to build and modernize digital web services.,
82,Vagas de emprego: Rojo Publicidade,Rojo Publicidade,"São Paulo, SP",,Postedhá 11 dias,2022-05-06,"Você trabalhará na maior parte do tempo gerenciando um time de tecnologia focado em eventos digitais, criação de sites e formulários interativos. Além disso…",
83,IBM,IBM,"São Paulo, SP",,Postedhá 15 dias,2022-05-06,"Client Technical Specialists (CTP) are the technical experts and advisors to clients, IBM sales teams and/or IBM Business Partners.",
84,Plus-IT Consulting,Plus-IT Consulting,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Conhecimentos básicos SPA React JS.,
85,vagas de emprego: São Paulo,,"São Paulo, SP",R$ 5.000 por mês,Postedhá 7 dias,2022-05-06,"Aqui o dia a dia é bem dinâmico, com muitas emoções e aprendizados.Desenvolvimento Web (HTML, CSS e Javascript).Linguagens backend PHP e/ou Javascript.",
86,Vagas de emprego: Porta 80 Web Hosting,Porta 80 Web Hosting,"São Paulo, SP",,Postedhá 6 dias,2022-05-06,"Desenvolvimento de novo website para a empresa.Experiência mínima de 5 anos na área.Profissional formado ou último ano de graduação, em Ciência da Computação…",
87,vagas de emprego: São Paulo,,"São Paulo, SP",R$ 7.000 por mês,Postedhá 28 dias,2022-05-06,"Somos uma empresa especializada em pricing com soluções inteligentes, desenvolvidas para revolucionar a gestão do varejo e indústria e trazer resultados sólidos…",
88,Vagas de emprego: DOC SYNC,DOC SYNC,"Home office in São Paulo, SP",R$ 4.000 - R$ 5.000 por mês,Postedhá 9 dias,2022-05-06,"Desenvolvedor(a) FullStack/ReactJS, Strapi, Java Script. Quer entrar para o time da mais nova startup acelerada pelo Cubo do Itaú? Estamos com uma vaga de…",
89,Plus-IT Consulting,Plus-IT Consulting,"São Paulo, SP",,Postedhá 23 dias,2022-05-06,Desenvolvimento de aplicações NodeJS/TypeScript.Conhecimentos em bancos de dados SQL e NoSQL.Atenção para qualidade de código e design patterns;,
90,Desenvolvedor NodeJS,Plus-IT Consulting,"São Paulo, SP",,Postedhá 23 dias,2022-05-06,Desenvolvimento de aplicações NodeJS/TypeScript.Conhecimentos em bancos de dados SQL e NoSQL.Atenção para qualidade de código e design patterns;,https://www.br.indeed.com/rc/clk?jk=fd2951d2eedcb152&fccid=18029a0d1b99cbb7&vjs=3
91,Desenvolvedor de Sistemas III - Berrini SP,Atento Brasil,"São Paulo, SP",R$ 6.500 por mês,Postedhá 9 dias,2022-05-06,Ser proativo e participativo entregando com qualidade e dentro dos prazos previstos.Implementar interfaces garantindo a utilização de boas práticas no…,https://www.br.indeed.com/rc/clk?jk=77f2bf8c1d8bba31&fccid=28ba5f1b6307faa6&vjs=3
92,Desenvolvedor Wordpress,NPW Digital,"São Paulo, SP",,Postedhá 9 dias,2022-05-06,"Experiência com Javascript, HTML, CSS, PHP.",https://www.br.indeed.com/rc/clk?jk=3b977071d4017d27&fccid=f91bfa9580d272e1&vjs=3
93,Desenvolvedor Full Stack PHP,Armac,"Barueri, SP",,Postedhá 30+ dias,2022-05-06,Você irá colaborar no desenvolvimento de soluções para a transformação digital de uma das maiores empresas do país;Tiver brilho nos olhos pelo que faz.,https://www.br.indeed.com/rc/clk?jk=d1d531aa193153e8&fccid=5086f726d6922c3e&vjs=3
94,Desenvolvedor PHP,Talent Group,"São Paulo, SP",R$ 4.000 - R$ 6.000 por mês,EmployerAtiva 2 dias atrás,2022-05-06,"Desenvolvimento de sistemas internos, externos e APIs em PHP usando framework Laravel;Construção de APIs para integração;Necessário conhecimento em PHP 7;",https://www.br.indeed.com/company/Talent-Group/jobs/Desenvolvedor-PHP-bac4eb4666c4fc03?fccid=577bf7c5223d969f&vjs=3
95,FullStack PHP,HR Soul,"São Paulo, SP",,Postedhá 4 dias,2022-05-06,Descrição Desenvolvedor FullStack PHP/Laravel Nível Pleno – São Paulo/SP Experiência em desenvolvimento com PHP e Laravel; Conhecimento com MySQL;…,https://www.br.indeed.com/rc/clk?jk=6ed45a08e45c2906&fccid=caba58b16290814a&vjs=3
96,Desenvolvedor Jr em PHP e laravel,Prime estágios (G&G Recursos Humanos LTDA),"Home office in São Caetano do Sul, SP",R$ 1.500 - R$ 1.800 por mês,Postedhá 3 dias,2022-05-06,Ensino Superior cursando ou interrompido (Preferencial).,https://www.br.indeed.com/company/Prime-est%C3%A1gios/jobs/Desenvolvedor-Junior-PHP-Laravel-bcd2e3d7bce7002e?fccid=2412b13cce124845&vjs=3
97,Analista Programador,Etapa Educacional,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Avaliar e resolver problemas em sistemas legados (Laravel, CodeIgniter e React);Desenvolvimento de aplicações mobile utilizando React Native;",https://www.br.indeed.com/rc/clk?jk=03bcb2aaddf690ed&fccid=1946be93051a1c55&vjs=3
98,Desenvolvedor(a) PHP Sênior,,"São Paulo, SP",R$ 12.000 por ano,Postedhá 23 dias,2022-05-06,"Experiência prévia nas linguagens informadas;Experiência com ferramentas de versionamento de código (GIT,...);01 sexta off no mes.",https://www.br.indeed.com/rc/clk?jk=a628a08e617ce220&fccid=dd616958bd9ddc12&vjs=3
99,Arquiteto E-commerce,MAPLE BEAR,"São Paulo, SP",,Postedhá 3 dias,2022-05-06,"Plataforma Adobe Commerce Cloud e tenha atuado por 10 anos com desenvolvimento de soluções para e-commerce;Desenvolvimento nas linguagens PHP, Git, MySQL, HTML…",https://www.br.indeed.com/rc/clk?jk=753f3f53ca449788&fccid=51d23017e65afa6b&vjs=3
100,Analista Desenvolvedor PHP/LARAVEL/JAVA SCRIPT JR,IVO TECH,"São Paulo, SP",R$ 3.000 - R$ 4.000 por mês,EmployerAtiva 9 dias atrás,2022-05-06,Horário: Horário de 2ª a 6ª - home 2 vezes por semana; Equipamento: Fornecido pela empresa; Modalidades de Contratação: CLT ou PJ Projetos: educacionais para…,https://www.br.indeed.com/company/SUPER-EMPREGOS/jobs/Analista-Desenvolvedor-PHP-Laravel-Java-Script-Junior-220bd83135d8b63f?fccid=01003848ae633a3d&vjs=3
101,Tech Lead Front-End,Iterative,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Experiência com Desenvolvimento de sites/páginas com Design Responsivo;Versionamento em GIT – utilização GIT FLOW;,https://www.br.indeed.com/rc/clk?jk=679bc926b5098dfc&fccid=c795cb63f9115981&vjs=3
102,Analista de Desenvolvimento PHP Pleno,E-KAN,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Desenvolvimento Web, PHP, HTML, MySQL/MariaDB, CSS, JavaScript, jQuery;Apps Mobiles Híbridos e Nativos e sistemas Desktop;",https://www.br.indeed.com/rc/clk?jk=b42ea8e7a6aace80&fccid=dd616958bd9ddc12&vjs=3
103,Desenvolvedor(a) Front-End,Layer Up,"São Paulo, SP",,Postedhá 28 dias,2022-05-06,"Requisitos Ensino superior completo ou cursando nas áreas de tecnologia da informação; Experiência como desenvolvedor web; Html5, css3, javascript, php,…",https://www.br.indeed.com/rc/clk?jk=411993d39dbaba9f&fccid=62f95f869578df30&vjs=3
104,Application Developer-Experience Front End,IBM,"São Paulo, SP",,Postedhá 2 dias,2022-05-06,"Desenvolvimento de softwares para aplicações web, mobile e desktop com conhecimento em diversas linguagens de programação como Java (incluindo JSF, Maven, Swing…",https://www.br.indeed.com/rc/clk?jk=cc434519dd2feb13&fccid=de71a49b535e21cb&vjs=3
105,Analista de Sistema de TI Junior,Vivo Digital,"São Paulo, SP",,Postedhá 17 dias,2022-05-06,Criação de de rotinas (scripts) para tratamento massivo de cenários conhecidos;Acompanhamento de indicadores operacionais para validação de nível de serviço;,https://www.br.indeed.com/rc/clk?jk=9b3a9b50c4881c16&fccid=af82f506ed7ea7e1&vjs=3
106,Desenvolvedor PHP – PLENO,Farisco RH,"Barueri, SP",R$ 7.000 por mês,EmployerAtiva 3 dias atrás,2022-05-06,Experiência em desenvolvimento de sistemas PHP em ambientes Linux;Experiência em programação orientada a objetos e MVC;,https://www.br.indeed.com/company/Farisco-RH/jobs/Desenvolvedor-PHP-Pleno-397f9530567bdef0?fccid=319cfe240f771784&vjs=3
107,Desenvolvedor Web PHP,Search Recursos Humanos,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Atuar com desenvolvimento em PHP Full Stack, orientado a objetos e padrões de projetos.Experiência em algum Framework PHP: Laravel, Cakephp, Lumen e etc;",https://www.br.indeed.com/rc/clk?jk=40d3c63315628201&fccid=e92280ba81fb0769&vjs=3
108,Líder de Desenvolvimento de Sistemas,Grupo SouthRock,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Experiência em arquitetura de sistemas em nuvem;Experiência na integração de sistemas via APIs e conhecimento de APIs Restfull;,https://www.br.indeed.com/rc/clk?jk=fcb8330ddbecd121&fccid=7d26d1c7dec7b725&vjs=3
109,Desenvolvedor React PL,G&P Projetos e Sistemas,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Integração com API’s Rest;No campo assunto, coloque Desenvolvedor React PL .",https://www.br.indeed.com/rc/clk?jk=a63b8ef578dcde99&fccid=0df450d689ee26bc&vjs=3
110,Desenvolvedor PHP Fullstack Sênior,Iniciativa Assessoria em Recursos Humanos,"São Paulo, SP",R$ 5.000 - R$ 7.000 por mês,Postedhá 14 dias,2022-05-06,"Empresa moderna de Marketing Digital que trabalha com a criação de portais, e-commerce, games, aplicativos mobile, hotsites, branding, além do amplo portfólio…",https://www.br.indeed.com/company/Iniciativa/jobs/Desenvolvedor-PHP-Fullstack-S%C3%AAnior-5957fb2299668302?fccid=f0769830d0b7d294&vjs=3
111,ANALISTA SUPORTE A APLICACOES II – Pleno,Innolevels,"São Paulo, SP",R$ 2.000 - R$ 3.700 por mês,EmployerAtiva 3 dias atrás,2022-05-06,Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.,https://www.br.indeed.com/company/Innolevels/jobs/Analista-Suporte-Aplicacoes-Pleno-130004eb83ed57f8?fccid=b98f3184c24b89e7&vjs=3
112,Gerente - Consultoria em Tecnologia,EY,"São Paulo, SP",,PostedHoje,2022-05-06,"Conhecimento de programação (JAVA, C#, VBA, php ou outros);Manter-se informado sobre os desenvolvimentos econômicos/corporativos gerais e seu impacto, para…",https://www.br.indeed.com/rc/clk?jk=8c6eaa7d056827bb&fccid=1544766d4c2915b0&vjs=3
113,Desenvolvedor(a) .NET Jr,,"Home office in São Paulo, SP",R$ 4.000 por mês,Postedhá 23 dias,2022-05-06,Contribuir com o desenvolvimento e implantação dos sistemas;Criação de execução de scripts para extração ou inserção de dados em bancos de dados (SQL Server e…,https://www.br.indeed.com/rc/clk?jk=299bf565c0c83a5d&fccid=dd616958bd9ddc12&vjs=3
